,Job Descriptions
413,php developer job summary urgently require people 3 8 year experience core php mvc laravel mysql 3 rd party api intergration rest soap api css html javascript ajax jquery job type time salary  2000000  6000000 month experience software development 2 year required education bachelor preferred licence core php preferred work remotely temporarily covid19
414,backend developer end admin end developers job description look experienced end developer join company responsible server web application website handle excellent programming skill passion develop application improve exist one like meet responsibility participate entire application lifecycle focus code debugging add product detail handle entire website write clean code develop functional web application troubleshoot debug application manage cutting edge technology improve legacy application collaborate end developer integrate user face element server logic gather address technical design requirement support internal team build reusable code library future use liaise developer designer system administrator identify new feature follow emerge technology requirements proven work experience end developer depth understanding entire web development process design development deployment hand experience programming language like php work knowledge cms framework familiarity end language eg html javascript css excellent analytical time management skill teamwork skill problem solve attitude require qualification 1 year experience require experience e commerce industry add advantage consider bsc computer science bca btech candidates preferring immediate joiner male female apply position expect start date 2112020 job types time walk pay  1200000  1500000 month schedule day shift experience programming 1 year preferred work 1 year preferred total work 1 year preferred education secondary10th pass preferred work remotely
415,ios developer job information work experience 2 4 year job description 2base look ios developer strengthen ios team ideally good ios developer proficient programming language platform objective c swift requirement desire skills experience technology basic knowledge work objective c swift c xcode ios sdk basic knowledge access datum json xml rest api responsibility design build advanced application ios platform collaborate cross functional team define design ship new feature unit test code robustness include edge case usability general reliability ensure performance quality responsiveness application help maintain code quality organization automatization identify potential problem resolve application bottleneck publishing application app store designing implement application update continuously discover evaluate implement new technology maximize development efficiency skill proficient objective c andor swift experience ios framework core data core animation etc experience offline storage threading performance tuning good knowledge resolve crash memory relate issue manual memory management rules familiarity restful api connect ios application end service knowledge web technology ui ux standard understanding apple design principle interface guideline knowledge low level c base library prefer experience performance memory tuning tool familiarity cloud message api push notification knack benchmarking optimization proficient understanding code versioning tool git know debug resolve crash exception etc aware app store build release process work knowledge general mobile landscape architecture trend emerge technology passion technology ability learn new concept quickly solid understanding mobile development life cycle
416,machine learning editorialist yx mission provide personalized online shopping experience world highly client centric approach use deep datum infinite array luxury good available sale online recommend perfect product base client lifestyle preference wardrobe define luxury experience super personalized editorialist yx fuse personal styling content shop seamless digital experience drive proprietary technology e commerce tool luxury fashion content editorialist yx look data scientist startup amazing perk role join small focused team solve hard data science problem responsible build machine learning model scale responsibility collect clean analyze datum diverse stream structured unstructured datum extract meaningful insight datum present stakeholder work end end datum science lifecycle build proof concept model production ready model work engineer deploy production build model improve accuracy process pipeline build model improve search ranking relevance work cross functionally different team understand business requirement need audience client write elegant machine learning datum analysis code python build model include personalization deep learning model champion datum drive culture company requirements bachelor degree statistic data science related 2  year experience data scientist machine learn engineer experience python sql strong knowledge mathematic statistic probability machine learn experience spark hadoop keras tensorflow big plus ability explain complex concept simple term high energy startup mindset excellent communication english presentation skill willingness learn excellent team player submit cover letter resume
417,node js developer 3  year experience develop web application javascript angular nodejs experience develop web application angularjs angular2 version working knowledge sql queries experience docker skills node js angular js docker job type time salary  30000000 year experience software development 1 year preferred work 1 year preferred total work 1 year preferred education bachelor preferred work remotely temporarily covid19
418,wordpress developer look wordpress developer experience knowledge php wordpress css javascript angular react join immediately education b tech cs mca industry experience 4 5 year relevant experience experience work us client preferable salary 30 40 k employment type time employment skills required demonstrate experience wordpress theme customization good eye aesthetic design user experience excellent communication skill attention detail good team player ready ready lead team require help formulate effective responsive design turn work theme plugin great php development skill build large scale web application api excellent understanding end technology javascript html5 ajax css3 hands experience angular reactjs job type time salary  3000000  4000000 month benefit flexible schedule schedule day shift supplemental pay overtime pay experience wordpress 1 year preferred work 1 year preferred total work 1 year preferred education bachelor preferred industry information design documentation work remotely temporarily covid19
419,machine learning required machine learning trainer expert topic like data cleaning munging python understand concept machine learning supervised unsupervised machine learning understanding simple linear regression multiple linear regression intuition regression use case decision tree regression random forest regression logistic regression support vector machines bayes theorem dimension reduction feature selection evaluate classification model performance k mean clustering reinforcement learning traditional b testing nlp understanding deep learning deep dive ann statistics probability refresher computer vision opencv natural language processing nlp tensorflow keras aws sagemaker etc experience atleast 2 year field time hour 6 8 week expect start date 6122020 job types time contract salary  40000  50000 hour schedule evening shift experience total work 3 year required work remotely temporarily covid19
420,database administrator job detail level experience job location austin office austin tx position type undisclosed education level high school salary range undisclose travel percentage undisclosed job shift day job category admin clerical description project administrator oversee perform administrative function south texas civil design team water quality permit team relevant project assist necessary office administrative duty project administrator perform routine clerical administrative work answer telephone receive public provide customer assistance provide technical support direction project manager project administrator perform advanced technical administrative work associate project project administrator need capability support advanced word excel powerpoint office software project administrator assist project manager use vision pm tool essential function process monthly invoice technical team maintain project file include archive editing format consistent apai technical standard finalize project relate document scheduling coordinating project client meeting conference set video conferencing make travel arrangement project relate travel enter information electronic permit application form datum entry laboratory report spreadsheet prepare report involve copy bind necessary outsource arc nova copy large copying job travel tceq order deliver submit obtain project relate document prepare project relate transmittal letter email correspondence assist publishing require permit relate notice serve liaison newspaper pm prepare coordinate shipment project relate document material taking note project meeting ensure distribute file check draft tpde permit fact sheet notice edit deletion change assist development proposal statement qualification necessary support proposal effort answer transfer greeting direct visitor processing sort distribute incoming mail prepare outgoing mail overnight courier scheduling coordinating office meeting conference utilize outlook skype ordering lunch catering house meeting frontline table talk lunch learn brown bag etc maintain inventory order organize office break room supply interface vendor park coffee office depot freshofficefruit submit office maintenance request repair need maintain filing system archive project file file close project necessary process archive file send offsite archive storage safesite maintaining catalog publication electronic library database assist hr orientation new hire prepare powerpoint presentation technical staff meeting presentation reconcile expense report credit card statement competency ability multi task detail orient effective communicator problem solve skill time management skill microsoft office proficiency personal quality ethical conduct flexibility task professional demeanor reliability punctuality supervisory responsibility position ha supervisory responsibility work environment job operate professional office environment professional dress require casual friday jean boot appropriate footwear flip flop wear physical mental demand physical demand describe representative meet employee successfully perform essential function job perform duty job employee regularly require talk hear employee frequently require stand walk use hand finger handle feel reach hand arm position type expect hour work monday friday 8 5 pm additional hour require require meeting project team deadline travel overnight travel typically require travel local meeting tceq agency require occasional multi day trip apai office necessary qualification require education experience high school diploma ge require minimum 3 year work corporate environment proficient advanced user microsoft office suite preferred education experience preferred education include aa degree specialize course work general office practice type filing accounting bookkeepe additional eligibility qualification valid texas driver license able legally work united state sponsorship future duty note job description design cover contain comprehensive listing activity duty responsibility require employee job duty responsibility activity change time notice policy company provide equal employment opportunity applicant employee company doe unlawfully discriminate basis race religion color sex gender identity sexual orientation national origin ancestry age medical condition disability worker compensation status veteran status
421,machine learning description responsibility build train test multiple machine learning model hyperparameter tuning train model achieve good possible result utilize power multiple gpu cpu core train test minimum time possible server individual contributor experience work independently interested read implement research paper relevant field job requirements job requirement strong programming skill python experience ski learn numpy library c add strong experience deep learning framework tensorflow keras pytorch model training experience resnetxx mask rcnn unet etc strong experience train conventional ml model like random forest xgboost etc good understanding image processing computer vision desire skills experience kaggle online data science competition experience web application development deploy train model experience aws azure cloud base ml platform big plus
422,backend developer job information job opening status fill industry services salary 4 5 lpa work experience fresher city dadri state province uttar pradesh country india zip postal code 201305 job description designing development software solution flexible work different set technology require clean flawless code produce fully functional saas software base specification evaluate exist application reprogram troubleshoot debug requirements proficient knowledge java angular jquery html5 css3 good knowledge database mysql oracle prior exposure aws azure cloud advantageous minimum 6  month develop experience plus excellent understanding software design programming principle ability adapt new technique technology quickly analytical problem solver box think excellent communication skill
423,ios developer company payu payment fintech business prosus global consumer internet group large technology investor world operate invest globally market long term growth potential prosus build lead consumer internet company empower people enrich community lead online payment service provider 36 country payu dedicate create fast simple efficient payment process merchant buyer focus empower people financial service create world financial border prosper payu big investor fintech space globally investment total  700 million date payu specialize credit product service emerge market globe dedicate remove risk merchant allow consumer use credit way suit enable great number global citizen access credit service local operation asia central eastern europe latin america middle east africa south east asia enable combine expertise high growth company unique local knowledge technology ensure customer access good financial service india big market payu globally company invest  400 million region 4 year payu phase growth develop regional fintech ecosystem provide multiple digital financial service integrate experience go 3 mechanism build co build partner select strategic investment payu support 350000  merchant million consumer make payment online 250 payment method 1800  payment specialist market payu operate represent potential consumer base nearly 23 billion people huge growth potential merchant role responsibility develop code improve overall ios mobile customer experience work alongside partner product managers designers ux ui qa build ship feature main application rapidly add new functionality tackle complex problem ship defect free code rapid pace work developer payu ensure right methodology practice help build technical execution plan ensure hit expectation qualification experience 2  year hand experience swift primary objective c hands experience design develop application having command ios sdk late tool xcode publish ios app app store have practical knowledge client server integration rest soap service work knowledge general mobile landscape architecture trend emerge technology experience work ios framework sqlite core data core animation core graphics core text storyboard ui views integration design code scalable application support big user base million solid understanding mobile development life cycle ie agile model
424,node js developer job summary publish 5 day ago vacancy 2 employment status time experience 2 3 yrs salary disclose interview venue thrissur strong hand experience nodej good experience design architect solution provide review strong javascript css3 experience good experience rest api service good experience reactjs mongodb knowledge preferable experience agile methodology like scrum kanban need excellent communication point knowledge windows app advantage 3  year professional experience software web development 2 3 year react js angular js experience proficiency modern web development technology technique include html5 css javascript responsive design web service etc experience frontend mvc framework angular react backbone etc expert knowledge web standard responsive design cross browser compatibility understanding web service technology rest soap http json skills node js end angular developer angular js angular 2 4 qualification btech engineering computer science master computer applications mca bsc computer science
425,node js developer roles responsibility look expert javascript developer highly skilled vuejs server base nodejs development good self management skill highly organized able prioritize excellent understanding css html javascript required skills technical competency 4  year experience node js server vuejs implement web application component vuejs framework follow generally accept practice workflow strong experience nodejs utilize nodejs framework coding implementation good practice produce high performing scalable secure module desire skills experience distribute source control like git understanding server rendering benefit use case excellent communication skill write verbal documentation
426,backend developer backend python developer software team yolo health important success look good people look result drive end developer python django work team member achieve success job responsibility minimum 1 3 year work experience end technology like python django knowledge rest api basic understanding end technology platform javascript html 5 css3 depth knowledge software architecture good understanding cloud service like aws passion code ability work independently group ready learn thing self interest job responsibility graduate post graduate technical background minimum 1 3 year experience focus efficiency user experience process improvement strong problem solve verbal write communication skill excellent project time management skill salary negotiable right candidate application deadline 27102020 job types time walk pay  40000000 year experience total work 1 year required education bachelor required location mumbai maharashtra required work remotely
427,network administrator look network administrator maintain reliable secure efficient datum communication network ideal candidate able deploy configure maintain monitor active network equipment order ensure smooth network operation responsibility fully support configure maintain upgrade corporate customer network house server install integrate new server hardware application eye need update support administer party application ensure network security connectivity monitor network performance availability utilization throughput goodput latency test weakness set user account permission password resolve problem report end user define network policy procedure specify system requirement design solution research recommendation server system administration requirements prove experience network administrator role hands experience networking route switch excellent knowledge good practice management control monitoring server infrastructure experience firewall internet vpn remote implementation troubleshooting problem resolution desire ability set configure server hardware familiarity backup recovery software methodology great organise prioritise multitaske juniper cisco cwna bcne training bsc degree computer science related field
428,database administrator position information job title research administrator department electrical computer engineering time time time requisition number s18494 open date 06262018 close date salary information salary commensurate experience qualification work schedule monday friday 8 am 5 pm benefit eligible yes eligible overtime position summary research administrator responsible lead administer pre post award activity ece faculty provide guidance training ece departmental research administrator serve departmental reviewer grant submission s serve designate research administrator handle financial administrative research process designate group ece faculty member include pre post award activity regular communication meeting faculty staff ethical management fund lead research administrator advise pi effective way achieve effective quality proposal coordinate timely submission process ensure appropriate approval s serf compliance oversight capacity monitor budget spending approve capital equipment requisition provide guidance counsel stewardship sponsor research fund education require bachelor degree concentration degree type substitution education requirement substitute additional relate experience require equivalent year year basis lieu education requirement education preferred bachelor degree business administration accounting finance experience require 3 year type experience relate administrative experience include research administration experience ie grant proposal preparation submission governmental agency nsf dod doe darp nih etc substitution experience requirement substitute additional related education require equivalent year year basis lieu experience requirement experience prefer year experience utilize bba business relate degree corporate high education environment proficiency organizational financial management corporate high education management grant contract federal state agency experience university policy procedure highly desirable license certification require specify license certification prefer specify skill require intermediate knowledge word processing spreadsheet email database software program work knowledge research administration guideline regulation policy organizational skill customer service problem solve skill prefer organize deadline orient ability problem solve work independently fast pace environment utilization database system software spreadsheet excel strong write verbal communication skill write clear concise correspondence wide range topic internal external contact work wide variety individual rice government industry external affiliate department collaborate institution physical demand able work office environment computer workstation working day able build widely separate college campus stair require long period sit work computer hour day working condition require long hour availability outside normal working hour weekend quarterly basis grant deadline andor work major project office environment fast pace stressful interruption require successful candidate multi task security sensitive yes
429,network administrator candidature able communicate english ability resolve customer client query qualification graduate experience shift 24 7 rotational shift 5 working day extreme technical knowledge salary perks 20k45k hand home home cab facility incentive rotational week off place work thane employment time working days 5 working day
430,django developer description position designation sse python  django experience required 5 8 year report technology lead vacancy 5 cab working day 5 shift day shift job job location bangalore job responsibilities development hansel scalable backend include data platform designing new feature architecture implement mentor engineering team evolve architecture performance scalability design develop component highly scalable distribute platform bring process team actively involve discussion improve software development cycle skills experience 5 8 year overall experience language java python minimum 3 year experience work backend framework like dropwizard spring boot django handle large volume datum distribute database management system like cassandra hbase hadoop experience distribute cluster computing framework like spark add advantage experience scale backend service build high availability system reduce point failure good understanding queue system like kafka rabbitmq cache system like redis good understanding aws service day day activity good understanding datum structure algorithm experience optimize application low latency experience building system scratch system evolution phase convert monolithic architecture micro service knowledge security datum protection add advantage company company hansel pvt ltd location bangalore team strength 30  people company fast grow startup product optimization space work bangalore office innovative technology develop see rapid adoption couple year work large indian company find detail product company core team comprise folk iit iiit iim experience build product cater million user day company like flipkart zynga disney hansel recognize gartner cool vendor 2 year launch gartner cool vendor company offer technology innovative impactful intriguing hansel award 10 innovative technology company india nasscom 2016 tech30 company techsparks 2016 work technology allow product manager create powerful context data point datum ingest source analytic system microservice backend application etc trigger action relevant contexts visual drag drop interface minimize need involve engineering team hansel bridge gap business engineering team enable company operate iterate product fast onboarde customer mean sign million end user responsible development hansel scalable backend handle terabyte datum stream instrumental help shape product define scope
431,devops engineer 17791 devops engineer ii open position type time locations inbangalore office1 position detail overview job responsible accountable streamline offering csgs end customer solution development ensure operationally sound prior roll production product evaluate prepare installation configuration monitoring diagnostic process procedure ensure minimal impact release production optimization personnel perspective critical point leverage technology ensure solution adhere customer sla requirement availability job description incumbent responsible provide key support focused product solution area internal external resource support maintenance customer production non production environment include support work variety shift include weekend holiday extra shift extend shift need work l1 l2 l3 l4 support operation team ensure successful deployment operation application ongoing operational activity independently build test reliable test solution release troubleshoot issue actively seek problem solve support build deployment infrastructure delivery team respond high severity production issue escalate operation team root cause analysis test drive development agile development continuous integration continuous deployment devops automation create seamless automate build script release management environment contribute devops community way good good practice support mentoring coach train wide team comprehend customer security data policy ensure adherence liason cross functional team investigate customer issue drive early resolution prepare validate share datum require cleanup correct reconcile fix experience 3 5 year related experience technical analyst equivalent role 2 3 year computer engineering equivalent role experience broad range technology network storage virtualization compute database automation sdlc distribute transaction high volume manage service billing service provider environment additional job description limited supervision perform installation configuration upgrade csg product hand experience 2 language python c shell powershell expertise mandatory os experience windows linux experience monitoring tool basic understanding work knowledge ci cd tool like chef jenkins etc ability troubleshoot issue provide solution validation installation configuration process procedure active participation internship team involve delivery development project management troubleshooting bug fixing solution place participate rotation supervision senior team member releases promotions limited supervision support development team release promotion include core upgrade development production define best practices validation release promotion process procedure troubleshooting bug fixing solution place backups recovery limited supervision establishe maintain system database backup recovery policy procedure solution new product evaluation assist identification analysis internal external client technical requirement limited supervision gather information customer technical requirement limited supervision provide technical input consultation application deployment party open source limited supervision perform installation configuration upgrade support party software support csg product active research sandbox trial open source solution execute party open source compilation requisite software pull source monitor version modification association key software familiarization key party product open source project leverage csg solution communication documentation effectively communicate customer colleague alike produce maintain documentation project research assign create wiki documentation solution delivery support automation effort responsibility time administration infrastructure system upgrade maintain troubleshoot bigip cvp framework bladelogic automation addm csp ipf 20 serve subject matter expert matter relate system application architecture 20 3rd tier support operational production issue 40 participates process improvement effort large technology organization 20 regular reliable attendance require ongoing incumbent accountable professional work behavior include build maintain constructive working relationship implement proactive concise communication act resource colleague engage collaborative thinking problem solve demonstrate csgs core competency value typical interactions relationship internal contact developer dbas operation systems administrators global platform architecture knowledge skills abilities familiarity practical agile development methodology familiarity require coding c scripting language shell scripting general knowledge database architecture function demonstrate great deal self drive initiative highly independent environment knowledge programming system analysis procedure strong oral write editing skill good interpersonal skill knowledge linux shell windows powershell scripting work independence feature level work assign lead know seek guidance teammate lead balance task load deliver timely manner involve story creation iterative planning demonstrate solid skill work gain additional experience 3 5 year experience application deployment support good understanding os network database application monitoring tool demonstrate creativity research solve situation knowledge system security pci compliance bachelors degree equivalent experience work agile project understand c powershell shell scripting database knowledge python pearl add advantage
432,flutter developer location chandigarh experience level 1 year vacancy 2 job responsibility design build advanced application android ios platform collaborate cross functional team define design ship new feature work outside data source apis unit test code robustness include edge case usability general reliability work bug fixing improve application performance continuously discover evaluate implement new technology maximize development efficiency skills required experience develop flutter obviously bs ms degree computer science engineering related subject proven work experience flutter app development build android andor ios app flutter publish mobile app google play app store experience create material design style app strong unit test debug skill experience work remote datum rest json experience party library api working knowledge general mobile landscape architecture trend emerge technology solid understanding mobile development life cycle create multi platform app ios android
433,ios developer job code 3709 position ios developer job location south delhi qualfication graduate post graduate experience 06yr skills jd mention responsibility jd mention salary range 20 k 25 k vacancy 1 3 k description position ios developer education graduate background experience 6 month 2 year industry type digital marketing functional area software job location sector54 gurgaon desire candidate skills look creative mind handle publish ios app app store experience objective c experience work ios framework ios sdk xcode deep understanding ios ux guideline good practice strong attention detail excellent troubleshooting analytical skill experience work small medium development team experience web service technologies soap rest etc knowledge framework payment gateway add advantage research share industry innovation trend expertise development implementation mobile application custom ui component verse mobile ui ux convention learner shift timing 10 7 pm salary bracket 25k40 k depend draw work experience interested candidate send resume photograph idggainfinityjobsin
434,flutter developer look flutter developer possess passion push mobile technology limit flutter developer paras technologies work team talented engineer design build generation mobile application flutter programming work closely app development technical team responsibility design build advanced application flutter android and ios technology collaborate cross functional team define design ship new feature work outside data source api unit test code robustness include edge case usability general reliability work bug fixing improve application performance continuously discover evaluate implement new technology maximize development efficiency requirements minimum 6 month experience flutter development bs ms degree computer science engineering related subject prove software development experience skill development lastest version publish original app experience android sdk ui designing experience work remote datum rest json experience party library google api level working knowledge general mobile landscape architecture trend emerge technology solid understanding mobile development life cycle job type time salary  1000000  5000000 month experience flutter 1 year preferred work remotely temporarily covid19
435,database administrator job description mysql database administrator report manager database system sr mysql database administrator responsible perform advanced general database administration function include overall database system design database install include upgrade patch backup recovery develop replication strategy employ advanced general performance tuning strategy sr mysql database administrator work closely development team troubleshoot sql statement issue present fact base find developer improve process position play role make recommendation improve web application processing issue design require skill advanced knowledge experience mysql database architecture system design advanced knowledge experience mysql database performance tune principle 7  year experience mysql dba high traffic transactional environment experience datum sharde horizontal partition galera cluster 5  year working lamp environment particularly php mysql combination experience mysql replication master slave master master experience administration innodb ability work cooperatively software engineer system administrator exceptional problem solve expertise attention detail experience linux environment understand operating system linux shell scripting perl python advanced knowledge experience physical logical database design strong install configure patch upgrading mysql database support operation development production database experience success automate administrative task strong understand hardware performance memory o advanced knowledge experience database security management technical presentation sr management internal customer advise sr management way improve overall system database process ability handle multiple conflict project deadline ability work provide 247 production support cldsft5k require technical professional expertise 5  year depth mysql dba experience experience support mysql mariadb production environment excellent communication skill u citizen prefer tech prof experience oracle dba experience plus php programming language plus experience percona server eo statement ibm commit create diverse environment proud equal opportunity employer qualified applicant receive consideration employment regard race color religion gender gender identity expression sexual orientation national origin genetic disability age veteran status ibm commit compliance fair employment practice citizenship immigration status
436,ios developer job summary base company look ios developer ahmedabad look ios developer possess passion push mobile technology limit work team talented engineer design build generation mobile application responsibility duty design develop test deploy mobile application develop maintain efficient reusable robust extensible customizable mobile application code framework ensure good possible performance quality responsiveness application gather requirement directly client development plan forecast timeline completion responsible develop high quality product client develop iphone ipad application xcode objective c storyboard swift require experience skills qualification working knowledge general mobile landscape architecture trend emerge technology experience ios framework core data core animation uikit framework etc strong oop datum structure background good knowledge database concept design prove experience mobile application design development deployment lifecycle include debug understanding design principle ios test consideration familiarity connect restful end service cloud message api push notification solid understanding software design pattern mvc mvvm etc familiar itunes connect apple developer account service certificates provisional profiles testflight testing job type time salary  1500000  6000000 month experience objective c 1 year preferred work 1 year preferred ios 1 year preferred education bachelor required industry software development
437,ios developer working experience ios development proficient swift cocoa touch publish ios app app store experience work ios framework core data core animation core graphics core text experience party library api work knowledge general mobile landscape architecture trend emerge technology solid understanding mobile development life cycle
438,database administrator fabfitfun seek dba optimize manage design database persistence layer newly create role technical thought leader question like   store procedure   use dynamodb v aurora dba optimize tune refactor datum persistence layer operate high scale availability work closely engineer pod direct data model design collaborate devop provide database tuning provide thought leadership topic like store procedure v sql code appropriate etc work closely datum team ensure appropriate etl solution place provide guidance appropriate storage solution give need ie use key value store v relational database bring b high comp science equivalent focus 8  year relevant work experience expert sql experience aws aurora postgre mysql strong understanding aw host datum architecture tooling amazing benefit include medical dental vision fsa 401k unlimited pto cater meal kitchen stock great snack drink free fabfitfun subscription quarterly credit add store
439,ios developer bytemark look talented ios developer work team bangalore job description ios mobile developer maintain manage continually develop suite application build client coordinate participate implementation testing support ios base application objective c cocoa xcode ios sdk design implement new feature create ui debugging datum modeling assist test application software hardware version provide timely turnaround documentation bug fix test cycle duty provide ios development service bm client engineer ios app team responsibility range high level user interface write network code communicate web service api develop framework code team bytemark party developer responsible maintain improve exist app implement new innovative feature future app responsible debug deliver good possible application performance include smooth scrolling delivery time speedy launch time qualification 3  year build complex application ios objective c c cocoa framework 4  year mobile application development user interface system level 2  year lead small team developer role primary hand developer ability understand debug large complex code basis expert knowledge ios sdk performance tool optimization technique demonstrate problem solve communication skill great experience extracting requirement customer translate feature git experience prefer ship multiple ios title provide sample deep highly functional app trick pony bs ms computer science related field proficient objective c knowledge compiler setting sqlite experience preferred experience create static library prefer good work knowledge uikit understanding block grand central dispatch use work app app store know use instruments leaks object allocations etc know good memory management technique go dealloc viewdidunload company description bytemark inc develop highly customize application mobile space offer ticket solution security spectrum
440,machine learning excite big data machine learning predictive software interested create new state art solution machine learning data mining technique terabytes data amazon bangalore develop state art large scale machine learning services applications cloud involve terabytes datum work apply predictive technology wide spectrum problem area amazon retail seller services customer service alexa chatbots look talented experienced machine learning scientists phd related area preferred apply innovative machine learning technique real world e commerce problem work team dedicate advance machine learning technology amazon convert business impact solution major responsibility use machine learning datum mining statistical technique create new scalable solution business problem analyze extract relevant information large amount amazons historical business datum help automate optimize key process design develop evaluate highly innovative model predictive learning establish scalable efficient automate process large scale datum analyse model development model validation model implementation research implement novel machine learning statistical approach basic qualifications basic qualifications master andor phd cs machine learning operational research statistics highly quantitative field experience predictive modelling analysis predictive software development strong problem solve ability good skill java scala c perl python similar scripting language experience r matlab statistical software strong communication datum presentation skill preferred qualifications preferred qualifications experience handle gigabyte terabyte size dataset experience work distribute system grid computing knowledge late state art ml technology publication presentation recognize machine learning data mining journal conference
441,ios developer  develop iphone ipad handset client  develop architecture low end design base customer product management requirement  communication design development issue developer manager  design develop manage automated unit acceptance test  peer review design code test  participate agile development program  bug fixing  ownership deliverable  adhere development methodology essential skills attribute  minimum 5 year objective c development  experience architecture pattern mvp mvc mvvm  experience develop universal app ios7 ios8 ios9  experience unit testing mandatory mocking uml diagrams design doc dependency tool ci continuous integration  proficiency xcode interface builder instruments  appreciation limitation handset development especially network related issue  attention detail subtlety ui design implementation  understanding design pattern  ability design scalability resilience  strong application process flow problem solve technique  strong focus refactoring code quality  understanding software configuration management release management  high level software engineering literacy communication skill  friendly professional manner  level qualifications computing mathematic science  experience auto layout constraint desire skill  experience work agile xp environment  experience work core data  experience deliver libraries sdk  familiarity library afnetworking restkit  experience mobile platform plus android windows phone mobile bb10  product development lifecycle experience  experience unit testing test driven development  scripting javascript ruby python shell etc  knowledge build system maven  restful development  xml json http syncml html 5 css groovy uml 00 1400 year
